"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.63041005788393e-216,0.346894547470446,0.948,0.835,4.99035910517115e-212,"0","RPS11"
1.19547995211871e-214,0.517391970846477,0.747,0.56,3.65912503744496e-210,"0","APRT"
1.55588666304312e-212,0.647523630415311,0.467,0.266,4.76225789824238e-208,"0","TBC1D10C"
1.78096541450602e-211,0.474851017984886,0.83,0.664,5.45117894072003e-207,"0","RPL23"
2.50674203789879e-211,0.593183731643802,0.7,0.516,7.67263602960063e-207,"0","UXT"
1.15829823712095e-206,0.419140184338803,0.886,0.735,3.54531924417981e-202,"0","EIF3K"
5.10307144361898e-206,0.490105846997409,0.581,0.354,1.5619481074629e-201,"0","ETS1"
4.52683840352544e-205,0.60966710492358,0.376,0.198,1.38557469855107e-200,"0","ABLIM1"
5.11030667440013e-200,0.816449936367225,0.302,0.149,1.56416266690039e-195,"0","RASA3"
5.46602849915553e-198,0.300212877422226,0.945,0.8,1.67304200302152e-193,"0","ITM2B"
3.16947026191783e-195,0.682374775525769,0.445,0.265,9.7011145776781e-191,"0","KIF2A"
6.51136244249532e-192,0.59751780401248,0.478,0.287,1.99299781639897e-187,"0","RBL2"
1.45616782523508e-188,0.782712706560183,0.342,0.181,4.45703847947954e-184,"0","S1PR4"
7.675704609019e-188,0.610835923958933,0.62,0.442,2.34937966672853e-183,"0","ST13"
6.02219395832527e-187,0.56024400591358,0.627,0.427,1.8432731267642e-182,"0","GYPC"
8.55970131551671e-187,0.456630918584654,0.799,0.627,2.61995337865335e-182,"0","RPS17"
2.20224166635355e-186,0.675293670254751,0.526,0.349,6.74062129237494e-182,"0","PLP2"
4.45283533319602e-185,0.41040112933159,0.755,0.548,1.36292383878464e-180,"0","ARL6IP5"
4.26599114959169e-182,0.943700839437797,0.296,0.156,1.30573457106702e-177,"0","NECAP2"
9.08169589449989e-182,0.361688133702533,0.908,0.771,2.77972547938853e-177,"0","TMA7"
1.94354924357245e-181,0.464018181846422,0.381,0.215,5.94881552472657e-177,"0","IL6ST"
2.46412293397727e-181,0.410494111818801,0.606,0.395,7.54218747631763e-177,"0","TAGAP"
3.80785689333136e-181,0.588605143698226,0.393,0.218,1.16550883791086e-176,"0","SLFN5"
2.37478987357565e-175,0.524467243723777,0.561,0.372,7.26875684504036e-171,"0","ABRACL"
4.69288814942565e-174,0.617561019999883,0.521,0.345,1.4363992047762e-169,"0","MZT2A"
5.73829138359526e-171,0.968334672645386,0.288,0.154,1.75637622669084e-166,"0","SNHG32"
6.99974554129008e-171,0.515450331906887,0.532,0.337,2.14248211527807e-166,"0","SEPTIN1"
6.54124873194201e-169,0.736126520219041,0.35,0.196,2.00214541187281e-164,"0","PSMB8-AS1"
7.27727628589533e-167,0.70903559473035,0.28,0.14,2.22742872558684e-162,"0","SCML4"
